name,mz,rt,SMILES
Desmetryne,214.1121,344.4,CC(C)Nc1nc(nc(n1)SC)NC
Dimefuron,339.1218,352.8,CC(C)(C)c1nn(c(=O)o1)c2ccc(cc2Cl)NC(=O)N(C)C
Dimethanamid-p,276.082,373.2,CC1=CSC(=C1N(C(C)COC)C(=O)CCl)C
Diuron,233.0243,336.6,CN(C)C(O)=NC1C=C(Cl)C(Cl)=CC=1
Ethidimuron,265.0424,300,CCS(=O)(=O)c1nnc(s1)N(C)C(=O)NC
Flufenacet,364.0737,372,CC(C)N(c1ccc(cc1)F)C(=O)COc2nnc(s2)C(F)(F)F
Fluometuron,233.0896,321.6,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
Heptenophos,251.0234,352.8,COP(=O)(OC)OC1=C(C2C1CC=C2)Cl
Hexazinone,253.1659,352.8,Cn1c(nc(=O)n(c1=O)C2CCCCC2)N(C)C
Isoproturon,207.1492,340.8,CC(C)c1ccc(cc1)NC(=O)N(C)C
Ketoprofen,255.1016,360.6,CC(c1cccc(c1)C(=O)c2ccccc2)C(=O)O
Linuron,249.0192,349.2,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC
Mesotrione,340.0485,332.4,CS(=O)(=O)c1ccc(c(c1)[N+](=O)[O-])C(=O)C2C(=O)CCCC2=O
Metazachlor,278.1055,360.6,Cc1cccc(c1N(Cn2cccn2)C(=O)CCl)C
Methabenzthiazuron,222.0696,356.4,CNC(=O)N(C)c1nc2ccccc2s1
Methiocarb,226.0896,360.6,Cc1cc(cc(c1SC)C)OC(=O)NC
Metobromuron,259.0077,339.6,CN(C(=O)Nc1ccc(cc1)Br)OC
Metolachlor-s,284.1412,382.8,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C
Metoprolol,268.1907,295.8,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
Metoxuron,229.0738,319.2,CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl
Metribuzin,215.0961,335.4,CC(C)(C)C1=NN=C(N(C1=O)N)SC
Metsulfuron-methyl,382.0816,358.8,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
Monolinuron,215.0582,333.6,CN(C(=O)NC1=CC=C(C=C1)Cl)OC
Monuron,199.0633,317.4,CN(C)C(=O)NC1=CC=C(C=C1)Cl
N-Phenyl urea,137.0709,249,C1=CC=C(C=C1)NC(=O)N
Naproxen,231.1016,361.2,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
Phenmedipham,301.1183,349.8,CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC
Prometon,226.1662,350.4,CC(C)NC1=NC(=NC(=N1)OC)NC(C)C
Pyridafol,207.032,313.2,C1=CC=C(C=C1)C2=NNC(=CC2=O)Cl
Siduron,233.1648,348.6,CC1CCCCC1NC(=O)NC2=CC=CC=C2
Simetryne,214.1121,344.4,CCNC1=NC(=NC(=N1)SC)NCC
Sotalol,273.1267,212.4,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O
Spiromesifen,371.2217,403.2,CC1=CC(=C(C(=C1)C)C2=C(C3(CCCC3)OC2=O)OC(=O)CC(C)(C)C)C
Sulcotrion,329.0245,343.2,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl
Sulfamethazine,279.091,301.2,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
Sulfamethoxazole,254.0594,292.8,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N
Tebuthiuron,229.1118,330.6,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC
Terbumeton,226.1662,350.4,CCNC1=NC(=NC(=N1)OC)NC(C)(C)C
Tetrachlorovinphos,364.9065,385.2,COP(=O)(OC)OC(=CCl)C1=CC(=C(C=C1Cl)Cl)Cl
Thoacloprid,253.0309,338.4,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl
Tramadol,264.1958,301.8,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
Triazophos,314.0723,380.4,CCOP(=S)(OCC)OC1=NN(C=N1)C2=CC=CC=C2
Triethyl phosphate,183.0781,312.6,CCOP(=O)(OCC)OCC
Venlafaxine,278.2115,324,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O
